timestamp,event,event2,gluc_mmol_L,kh_g,Dauer (hh:mm:ss),delta_time_s
2025-12-04 19:51:28,EGV,,4.7,,,71488.0
2025-12-04 19:56:27,EGV,,5.2,,,71787.0
2025-12-04 20:01:28,EGV,,5.2,,,72088.0
2025-12-04 20:06:28,EGV,,4.8,,,72388.0
2025-12-04 20:11:28,EGV,,4.9,,,72688.0
2025-12-04 20:16:28,EGV,,5.3,,,72988.0
2025-12-04 20:21:27,EGV,,5.8,,,73287.0
2025-12-04 20:26:28,EGV,,5.4,,,73588.0
2025-12-04 20:31:28,EGV,,5.2,,,73888.0
2025-12-04 20:36:27,EGV,,5.2,,,74187.0
2025-12-04 20:41:27,EGV,,5.1,,,74487.0
2025-12-04 20:46:28,EGV,,5.0,,,74788.0
2025-12-04 20:51:28,EGV,,5.2,,,75088.0
2025-12-04 20:56:28,EGV,,5.2,,,75388.0
2025-12-04 21:01:27,EGV,,5.2,,,75687.0
2025-12-04 21:06:28,EGV,,5.1,,,75988.0
2025-12-04 21:11:28,EGV,,5.2,,,76288.0
2025-12-04 21:16:28,EGV,,5.2,,,76588.0
2025-12-04 21:21:28,EGV,,5.2,,,76888.0
2025-12-04 21:26:29,EGV,,5.1,,,77189.0
2025-12-04 21:31:28,EGV,,5.4,,,77488.0
2025-12-04 21:36:28,EGV,,5.4,,,77788.0
2025-12-04 21:41:28,EGV,,5.3,,,78088.0
2025-12-04 21:46:27,EGV,,5.2,,,78387.0
2025-12-04 21:51:28,EGV,,5.3,,,78688.0
2025-12-04 21:56:27,EGV,,5.4,,,78987.0
2025-12-04 22:01:27,EGV,,5.3,,,79287.0
2025-12-04 22:06:28,EGV,,5.2,,,79588.0
2025-12-04 22:11:27,EGV,,5.1,,,79887.0
2025-12-04 22:16:28,EGV,,5.0,,,80188.0
2025-12-04 22:21:27,EGV,,5.1,,,80487.0
2025-12-04 22:26:31,EGV,,5.2,,,80791.0
2025-12-04 22:31:31,EGV,,5.2,,,81091.0
2025-12-04 22:36:31,EGV,,5.5,,,81391.0
2025-12-04 22:41:31,EGV,,6.4,,,81691.0
2025-12-04 22:46:31,EGV,,6.1,,,81991.0
2025-12-04 22:51:31,EGV,,6.0,,,82291.0
2025-12-04 22:56:31,EGV,,6.0,,,82591.0
2025-12-04 23:01:31,EGV,,6.0,,,82891.0
2025-12-04 23:06:31,EGV,,6.0,,,83191.0
2025-12-04 23:11:31,EGV,,6.1,,,83491.0
2025-12-04 23:16:31,EGV,,6.2,,,83791.0
